,Iteration Count,Input Expression,Current Cost,Expand ?	,Expression to Process,selected_rand_comb,Rand El 1,Rand El 2,Matched Variable,Loop Reduced Expression,law_replace,New Expression,"New Cost"
0,0,a'b'c'+ab'c'+ab'c+abc',12,False,a'b'c'+ab'c'+ab'c+abc',M1M3,ab'c',abc',ac',ac'(b'+b),ac',a'b'c'+ab'c+ac',8
1,1,a'b'c'+ab'c+ac',8,False,a'b'c'+ab'c+ac',M1M2,ab'c,ac',a,a(b'c+c'),a(b'c+c'),a'b'c'+a(b'c+c'),7
2,2,a'b'c'+a(b'c+c'),7,False,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
3,3,a'b'c'+a(b'c+c'),7,True,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
4,4,a'b'c'+a(b'c+c'),7,True,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
5,5,a'b'c'+a(b'c+c'),7,True,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
6,6,a'b'c'+a(b'c+c'),7,False,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
7,7,a'b'c'+a(b'c+c'),7,False,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
8,8,a'b'c'+a(b'c+c'),7,False,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
9,9,a'b'c'+a(b'c+c'),7,True,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
10,10,a'b'c'+a(b'c+c'),7,False,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
11,11,a'b'c'+a(b'c+c'),7,False,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
12,12,a'b'c'+a(b'c+c'),7,False,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
13,13,a'b'c'+a(b'c+c'),7,False,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
14,14,a'b'c'+a(b'c+c'),7,True,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
15,15,a'b'c'+a(b'c+c'),7,True,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
16,16,a'b'c'+a(b'c+c'),7,True,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
17,17,a'b'c'+a(b'c+c'),7,False,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
18,18,a'b'c'+a(b'c+c'),7,False,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
19,19,a'b'c'+a(b'c+c'),7,False,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
20,20,a'b'c'+a(b'c+c'),7,False,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
21,21,a'b'c'+a(b'c+c'),7,True,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
22,22,a'b'c'+a(b'c+c'),7,True,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
23,23,a'b'c'+a(b'c+c'),7,False,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
24,24,a'b'c'+a(b'c+c'),7,False,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
25,25,a'b'c'+a(b'c+c'),7,False,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
26,26,a'b'c'+a(b'c+c'),7,False,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
27,27,a'b'c'+a(b'c+c'),7,False,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
28,28,a'b'c'+a(b'c+c'),7,True,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
29,29,a'b'c'+a(b'c+c'),7,False,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
30,30,a'b'c'+a(b'c+c'),7,True,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
31,31,a'b'c'+a(b'c+c'),7,False,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
32,32,a'b'c'+a(b'c+c'),7,True,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
33,33,a'b'c'+a(b'c+c'),7,True,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
34,34,a'b'c'+a(b'c+c'),7,True,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
35,35,a'b'c'+a(b'c+c'),7,False,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
36,36,a'b'c'+a(b'c+c'),7,True,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
37,37,a'b'c'+a(b'c+c'),7,True,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
38,38,a'b'c'+a(b'c+c'),7,True,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
39,39,a'b'c'+a(b'c+c'),7,True,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
40,40,a'b'c'+a(b'c+c'),7,False,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
41,41,a'b'c'+a(b'c+c'),7,True,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
42,42,a'b'c'+a(b'c+c'),7,True,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
43,43,a'b'c'+a(b'c+c'),7,True,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
44,44,a'b'c'+a(b'c+c'),7,False,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
45,45,a'b'c'+a(b'c+c'),7,False,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
46,46,a'b'c'+a(b'c+c'),7,False,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
47,47,a'b'c'+a(b'c+c'),7,False,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
48,48,a'b'c'+a(b'c+c'),7,True,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
49,49,a'b'c'+a(b'c+c'),7,False,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
50,50,a'b'c'+a(b'c+c'),7,False,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
51,51,a'b'c'+a(b'c+c'),7,False,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
52,52,a'b'c'+a(b'c+c'),7,False,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
53,53,a'b'c'+a(b'c+c'),7,False,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
54,54,a'b'c'+a(b'c+c'),7,False,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
55,55,a'b'c'+a(b'c+c'),7,True,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
56,56,a'b'c'+a(b'c+c'),7,False,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
57,57,a'b'c'+a(b'c+c'),7,True,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
58,58,a'b'c'+a(b'c+c'),7,True,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
59,59,a'b'c'+a(b'c+c'),7,True,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
60,60,a'b'c'+a(b'c+c'),7,False,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
61,61,a'b'c'+a(b'c+c'),7,True,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
62,62,a'b'c'+a(b'c+c'),7,True,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
63,63,a'b'c'+a(b'c+c'),7,False,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
64,64,a'b'c'+a(b'c+c'),7,False,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
65,65,a'b'c'+a(b'c+c'),7,True,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
66,66,a'b'c'+a(b'c+c'),7,False,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
67,67,a'b'c'+a(b'c+c'),7,False,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
68,68,a'b'c'+a(b'c+c'),7,True,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
69,69,a'b'c'+a(b'c+c'),7,True,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
70,70,a'b'c'+a(b'c+c'),7,False,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
71,71,a'b'c'+a(b'c+c'),7,True,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
72,72,a'b'c'+a(b'c+c'),7,False,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
73,73,a'b'c'+a(b'c+c'),7,False,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
74,74,a'b'c'+a(b'c+c'),7,False,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
75,75,a'b'c'+a(b'c+c'),7,True,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
76,76,a'b'c'+a(b'c+c'),7,True,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
77,77,a'b'c'+a(b'c+c'),7,False,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
78,78,a'b'c'+a(b'c+c'),7,False,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
79,79,a'b'c'+a(b'c+c'),7,False,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
80,80,a'b'c'+a(b'c+c'),7,False,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
81,81,a'b'c'+a(b'c+c'),7,False,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
82,82,a'b'c'+a(b'c+c'),7,True,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
83,83,a'b'c'+a(b'c+c'),7,False,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
84,84,a'b'c'+a(b'c+c'),7,False,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
85,85,a'b'c'+a(b'c+c'),7,True,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
86,86,a'b'c'+a(b'c+c'),7,False,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
87,87,a'b'c'+a(b'c+c'),7,True,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
88,88,a'b'c'+a(b'c+c'),7,False,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
89,89,a'b'c'+a(b'c+c'),7,True,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
90,90,a'b'c'+a(b'c+c'),7,False,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
91,91,a'b'c'+a(b'c+c'),7,True,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
92,92,a'b'c'+a(b'c+c'),7,False,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
93,93,a'b'c'+a(b'c+c'),7,True,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
94,94,a'b'c'+a(b'c+c'),7,False,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
95,95,a'b'c'+a(b'c+c'),7,True,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
96,96,a'b'c'+a(b'c+c'),7,True,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
97,97,a'b'c'+a(b'c+c'),7,False,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
98,98,a'b'c'+a(b'c+c'),7,False,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
99,99,a'b'c'+a(b'c+c'),7,False,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
100,100,a'b'c'+a(b'c+c'),7,False,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
101,101,a'b'c'+a(b'c+c'),7,True,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
102,102,a'b'c'+a(b'c+c'),7,False,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
103,103,a'b'c'+a(b'c+c'),7,False,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
104,104,a'b'c'+a(b'c+c'),7,True,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
105,105,a'b'c'+a(b'c+c'),7,False,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
106,106,a'b'c'+a(b'c+c'),7,False,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
107,107,a'b'c'+a(b'c+c'),7,False,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
108,108,a'b'c'+a(b'c+c'),7,False,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
109,109,a'b'c'+a(b'c+c'),7,True,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
110,110,a'b'c'+a(b'c+c'),7,True,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
111,111,a'b'c'+a(b'c+c'),7,False,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
112,112,a'b'c'+a(b'c+c'),7,False,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
113,113,a'b'c'+a(b'c+c'),7,True,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
114,114,a'b'c'+a(b'c+c'),7,True,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
115,115,a'b'c'+a(b'c+c'),7,False,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
116,116,a'b'c'+a(b'c+c'),7,True,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
117,117,a'b'c'+a(b'c+c'),7,False,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
118,118,a'b'c'+a(b'c+c'),7,True,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
119,119,a'b'c'+a(b'c+c'),7,False,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
120,120,a'b'c'+a(b'c+c'),7,False,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
121,121,a'b'c'+a(b'c+c'),7,True,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
122,122,a'b'c'+a(b'c+c'),7,False,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
123,123,a'b'c'+a(b'c+c'),7,True,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
124,124,a'b'c'+a(b'c+c'),7,True,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
125,125,a'b'c'+a(b'c+c'),7,False,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
126,126,a'b'c'+a(b'c+c'),7,True,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
127,127,a'b'c'+a(b'c+c'),7,False,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
128,128,a'b'c'+a(b'c+c'),7,False,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
129,129,a'b'c'+a(b'c+c'),7,False,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
130,130,a'b'c'+a(b'c+c'),7,False,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
131,131,a'b'c'+a(b'c+c'),7,False,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
132,132,a'b'c'+a(b'c+c'),7,True,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
133,133,a'b'c'+a(b'c+c'),7,True,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
134,134,a'b'c'+a(b'c+c'),7,True,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
